,Ticker,Date,Asset Turnover,Current Ratio,Debt/Assets,Debt/Equity,Dividend Coverage Ratio,Dividend Payout Ratio,EBITDA Margin,EBITDA Y/Y,EPS Y/Y,EV/EBITDA,EV/FCF,EV/Revenue,Earnings Retention Rate,FCF Yield,Gross Profit Margin,Interest Coverage Ratio,Net Profit Margin,Operating Profit Y/Y,PE,PEG,Price/Book,Price/Sales,Quick Ratio,ROA,ROE,ROIC,Reinvestment Rate,Revenue Y/Y,Working Capital/Assets
1644,RGNX,2017-12-31,0.05596525663083,11.63656,,,,,-704.31059,0.13,0.027,,,84.172323583181,,-6.55819883063305,83.55624,,-704.02194,0.161,,,5.6852087112786,95.5877513711152,,-39.4007684251055,-42.4456007843001,,-42.4456007843001,1.265,0.77291
1645,RGNX,2018-12-31,0.588572790781302,15.23778,1.07647,1.15044,,0.0,42.14183,-2.258,-2.114,12.9188773055537,13.0195475544489,5.44425097846731,1.0,5.94321417244206,95.5882,,45.73671,-2.161,15.3835434589687,0.072786258315939,2.97777282468194,7.03591954417519,,26.9193835346152,28.8886608457862,28.6462834530786,28.8886608457862,20.024,0.5806
1646,RGNX,2019-12-31,0.06764376676311,10.24563,0.0,0.0,,,-402.45792,-2.54,-1.947,,,34.4713573507791,,-7.94477448715208,76.61,,-268.87577,-2.691,,,3.3664417442063,42.6642437487583,,-18.1877698656647,-19.7556944668915,,-19.7556944668915,-0.839,0.62533
1647,RIOT,2015-12-31,0.004089375943436,9.16482,10.25793,13.31639,,,-8193.17178,-0.178,-0.225,,,-45.2102928305125,,-82.71645243431,69.83272,-86.50328,-8637.67408,-0.176,,,0.523642878492778,82.9999855253495,,-35.3226966051944,-44.056837149053,,-44.056837149053,-0.393,0.70085
1648,RIOT,2016-12-31,0.005102444101276,13.02528,0.81927,0.93571,,,-4733.35608,-0.449,-0.656,,,45.4839309610234,,-40.142759451546,100.0,-154.40828,-3265.61909,-0.456,,,1.03372042828983,143.968824423169,,-16.6626388425279,-20.3789584684196,,-20.3789584684196,-0.046,0.74459
1649,RIOT,2017-12-31,0.007773743662376,40.74004,0.25905,0.27318,,,-2592.93992,0.528,-0.507,,,894.204510174036,,-4.16783351892965,-239.71861,-1.65605,-900.39124,0.709,59.1999666479061,,8.02615849402136,634.000981988229,,-6.99941067817702,-8.21815961370768,,-8.21815961370768,1.789,0.7901
1650,RIOT,2018-12-31,0.237033888580478,0.347,12.23696,37.76616,,,-240.03664,1.693,10.332,,,2.73112748447102,,-196.288211133012,-41.32349,-195.9702,-768.7203,2.028,,,3.8340442819419,2.57985353073649,,-182.212762887255,-248.083142145673,,-248.083142145673,28.094,-0.31371
1651,RIOT,2019-12-31,0.309084507691715,3.74829,0.0,0.0,,,-123.1388,-0.553,-0.764,,,2.40382635658915,,-99.5911830229066,9.08293,-69.98361,-296.95773,-0.646,,,1.07143198798466,3.21043355857832,,-91.7850337818472,-125.485914285963,,-125.485914285963,-0.129,0.30477
1652,RKT,2015-12-31,,,62.81865,220.07813,,0.0,41.5308,,,,,,1.0,,,30.83197,33.5624,,,,,,,,,,,,
1653,RKT,2016-12-31,0.515669849560474,,66.25647,281.30742,,0.0,44.90961,0.391,0.418,,,,1.0,,,28.54108,37.00327,0.397,,,,,,19.0814693927346,74.1306567605814,21.9532497502941,74.1306567605814,0.286,
1654,RKT,2017-12-31,0.35518315026116,,64.06715,300.40461,,0.0,29.09949,-0.436,-0.574,,,,1.0,,,6.45934,18.12216,-0.452,,,,,,6.43668582449876,28.8423211769987,9.09526711735076,28.8423211769987,-0.13,
1655,RKT,2018-12-31,0.346722812352657,,70.21534,291.71501,,0.0,26.37065,-0.082,-0.205,,,,1.0,,,4.61903,14.21757,-0.094,,,,,,4.92955442965025,21.8439839665345,7.56118868873372,21.8439839665345,0.013,
1656,RKT,2019-12-31,0.331782204811093,,,,,0.0,30.15598,0.395,0.458,,,,1.0,,,5.55504,16.98227,0.425,,,,,,5.63441579588924,28.4396238635935,7.80240272470311,28.4396238635935,0.22,
1657,RNG,2015-12-31,1.46956715862582,2.12284,8.86352,17.28834,,,-5.8958,-0.499,-0.367,,,5.24716134119665,,-0.729802857236895,70.53925,-27.54408,-10.83591,-0.316,,,15.4077365394668,5.57755181819409,2.09409,-15.9240977303733,-31.068008149557,,-31.068008149557,0.347,0.42117
1658,RNG,2016-12-31,1.62773563351175,1.77509,5.94587,11.55097,,,0.48155,-1.105,-0.515,748.091962445415,102.968029691961,3.60245737837639,,0.885163855733853,75.76176,-17.24933,-4.26484,-0.584,,,11.7830769846763,3.95250817483098,1.77455,-6.94203772874496,-13.5110940863461,,-13.5110940863461,0.284,0.3559
